rank	gene	n_isoforms	delta_ch	z_score	p_corrected_upper_if_zero_exceed	pool_size	null_mean	null_std	len_range	mean_ch	tau_range	cds_delta_ch	cds_full_ratio
1	SLC39A11	31	0.327756	26.154	0.0038461538461538464	259	0.022216	0.011683	3030	0.21333	0.148661	0.036192	0.11042360780580676
2	MED12	28	0.287651	17.026	0.03333333333333333	29	0.033632	0.014919	8240	0.239301	0.153809	0.420543	1.4619903980865703
3	SRP14	6	0.114499	14.077	0.07142857142857142	13	0.01279	0.007225	651	0.24479	0.090893	0.221142	1.9313880470571796
4	FLOT1	82	0.203677	12.395	0.09090909090909091	10	0.021555	0.014693	1878	0.223929	0.148661	0.061177	0.30036282938181535
5	HNRNPA1	77	0.207321	12.283	0.04	24	0.032261	0.014253	4085	0.234942	0.148661	0.160097	0.7722179615186112
6	HLA-F	52	0.185546	10.887	0.008264462809917356	120	0.025027	0.014744	3792	0.221946	0.149285	0.07128	0.3841634958446962
7	ANKRD18B	7	0.123465	10.766	0.0029585798816568047	337	0.016036	0.009978	3937	0.222918	0.149285	0.133129	1.0782731948325435
8	CARM1	9	0.117099	9.805	0.002570694087403599	388	0.016984	0.01021	2827	0.227537	0.117608	0.035692	0.3048019197431234
9	SH3BGR	14	0.107349	9.62	0.011235955056179775	88	0.017521	0.009338	984	0.230549	0.121946	0.069917	0.6513055547792714
10	SUPT5H	12	0.125129	9.304	0.01098901098901099	90	0.022977	0.010979	3538	0.240485	0.153007	0.155871	1.2456824557057118
11	HGS	72	0.166775	9.154	0.058823529411764705	16	0.029753	0.014969	3074	0.235186	0.148661	0.160801	0.9641792834657472
12	TUBGCP5	25	0.110818	8.967	0.0028169014084507044	354	0.020023	0.010126	3796	0.20955	0.154927	0.029865	0.2694959302640365
13	ZNF384	14	0.115998	8.936	0.0027624309392265192	361	0.018898	0.010866	2907	0.224664	0.116495	0.190302	1.6405627683235917
14	SLC12A5	12	0.141969	8.702	0.00909090909090909	109	0.02436	0.013515	6066	0.235011	0.150088	0.161853	1.1400587452190265
15	G3BP2	94	0.16558	8.351	0.038461538461538464	25	0.03297	0.01588	6287	0.211373	0.149285	0.184708	1.1155211982123445
16	PRG4	12	0.113135	8.119	0.047619047619047616	20	0.025768	0.010761	4518	0.248118	0.096865	0.113316	1.0015998585760375
17	SEPTIN11	10	0.094676	7.921	0.002840909090909091	351	0.017343	0.009763	5269	0.213577	0.148661	0.077758	0.8213063500781613
18	FBL	35	0.086714	7.775	0.0625	15	0.017095	0.008954	732	0.224	0.103984	0.106703	1.2305164102682382
19	MT3	5	0.051212	7.685	0.09090909090909091	10	0.007985	0.005625	238	0.23881	0.073171	0.097594	1.905686167304538
20	PAXBP1	10	0.085664	7.334	0.002257336343115124	442	0.016736	0.009398	3553	0.22002	0.149285	0.092882	1.0842594322002241
