rank	gene	n_isoforms	merge_range	ch_range	drift_range	churn_range	tau_range	mean_ch	len_range
1	RYR3	12	0.904641	0.019619	0.033382	0.039847	0.092407	0.220594	13558
2	GRIN2A	9	0.902708	0.031530	0.011501	0.107163	0.133483	0.256750	12786
3	TNXB	23	0.900449	0.135888	0.014781	0.115906	0.190000	0.213390	13800
4	ATRX	15	0.891554	0.196529	0.000000	0.086057	0.190000	0.241081	13938
5	CREBBP	7	0.889952	0.075310	0.008400	0.068038	0.163645	0.235786	11905
6	FBXL20	10	0.887899	0.033354	0.027910	0.069499	0.105712	0.234498	16711
7	ZEB2	42	0.884037	0.157362	0.002762	0.093985	0.190000	0.251330	5244
8	NRXN1	29	0.882825	0.230587	0.010511	0.089974	0.190000	0.218027	11443
9	TNC	30	0.877394	0.030293	0.000000	0.124745	0.190000	0.247346	4715
10	FASN	13	0.877270	0.004680	0.009412	0.137908	0.190000	0.233809	9881
11	RAPGEF2	13	0.872168	0.008881	0.010547	0.082630	0.190000	0.211568	13222
12	GRIN2B	14	0.869682	0.019037	0.007270	0.092407	0.190000	0.263858	8676
13	KMT2A	19	0.866994	0.042633	0.003990	0.095987	0.190000	0.260082	16746
14	SMARCC2	15	0.866550	0.003636	0.013558	0.103721	0.157881	0.242080	11641
15	RYR1	27	0.865251	0.010540	0.011756	0.109492	0.190000	0.246436	11348
16	LRRK2	10	0.863090	0.021394	0.008323	0.077095	0.190000	0.250600	15775
17	CLSTN2	10	0.862222	0.014445	0.000000	0.113798	0.190000	0.237099	5779
18	CEP164	9	0.860110	0.013605	0.000000	0.118774	0.190000	0.225288	9305
19	SRRM2	11	0.859567	0.021593	0.005701	0.091140	0.163533	0.257424	7180
20	NCOR1	14	0.859513	0.011856	0.017266	0.107956	0.149081	0.243487	15396
